,text,newText
722,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
723,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
724,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
725,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
726,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
727,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
728,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
729,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
730,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
731,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
732,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
733,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
734,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
735,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
736,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
737,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
738,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
739,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
740,@SethMacFarlane 😩 but that means a super long wait until more @TheOrville,"['   ', 'means', 'super', 'long', 'wait']"
741,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
742,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
743,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
744,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
745,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
746,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
747,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
748,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
749,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
750,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
751,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
752,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
753,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
754,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
755,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
756,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
757,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
758,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
759,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
760,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
761,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
762,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
763,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
764,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
765,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
766,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
767,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
768,@GaryRMartin3 Does being Canadian give us an exception??? Sorry eh.,"[' ', 'Canadian', 'exception', '   ', 'Sorry', 'eh']"
769,@GaryRMartin3 Does being Canadian give us an exception??? Sorry eh.,"[' ', 'Canadian', 'exception', '   ', 'Sorry', 'eh']"
770,@GaryRMartin3 Does being Canadian give us an exception??? Sorry eh.,"[' ', 'Canadian', 'exception', '   ', 'Sorry', 'eh']"
771,@GaryRMartin3 Does being Canadian give us an exception??? Sorry eh.,"[' ', 'Canadian', 'exception', '   ', 'Sorry', 'eh']"
772,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
773,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
774,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
775,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
776,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
777,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
778,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
779,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
780,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
781,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
782,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
783,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
784,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
785,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
786,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
787,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
788,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
789,"@JudkinsSimon All right, let's do this!

1. Fire performer
2. Bar manager
3. House Cleaner
4. Disability support wo… https://t.co/7PbvZeLFKs","[' ', 'right', ' ', 'let', 's', '     ', 'Fire', 'performer', '   ', 'Bar', 'manager', '   ', 'House', 'Cleaner', '   ', 'Disability', 'support', 'wo', ' ']"
